ID,Name,Country,Source,Date
173,"ANGLO-CARIBBEAN CO., LTD.",CUBA,US,
306,BANCO NACIONAL DE CUBA,CUBA,US,
424,BOUTIQUE LA MAISON,CUBA,US,
475,CASA DE CUBA,CUBA,US,
480,"CECOEX, S.A.",CUBA,US,
535,CIMEX,CUBA,US,
536,CIMEX IBERICA,CUBA,US,
537,"CIMEX, S.A.",CUBA,US,
540,"COMERCIAL IBEROAMERICANA, S.A.",CUBA,US,
551,"COMERCIAL CIMEX, S.A.",CUBA,US,
552,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",CUBA,US,
555,COMERCIALIZACION DE PRODUCTOS VARIOS,CUBA,US,
559,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,CUBA,US,
576,"CORPORACION CIMEX, S.A.",CUBA,US,
578,COTEI,CUBA,US,
589,"CRYMSA - ARGENTINA, S.A.",CUBA,US,
590,CUBACANCUN CIGARS AND GIFT SHOPS,CUBA,US,
591,CUBAEXPORT,CUBA,US,
592,CUBAFRUTAS,CUBA,US,
593,CUBAN CIGARS TRADE,CUBA,US,
621,CUBANATUR,CUBA,US,
622,CUBATABACO,CUBA,US,
636,"CUMEXINT, S.A.",CUBA,US,
651,"DELVEST HOLDING, S.A.",CUBA,US,
701,EDICIONES CUBANAS,CUBA,US,
702,"EDYJU, S.A.",CUBA,US,
735,EMPRESA CUBANA DE AVIACION,CUBA,US,
751,EMPRESA CUBANA DE PESCADOS Y MARISCOS,CUBA,US,
758,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,CUBA,US,
767,ETCO INTERNATIONAL COMMODITIES LTD.,CUBA,US,
768,"ETCO INTERNATIONAL COMPANY, LIMITED",CUBA,US,
815,"GALAX TRADING CO., LTD.",CUBA,US,
906,HAVIN BANK LIMITED,CUBA,US,
907,HAVANATUR,CUBA,US,
1042,INSTITUTO NACIONAL DE TURISMO DE CUBA,CUBA,US,
1043,INTERCONSULT,CUBA,US,
1241,"KAVE, S.A.",CUBA,US,
1287,LA EMPRESA CUBANA DE FLETES,CUBA,US,
1316,"LEVERAGE, S.A.",CUBA,US,
1555,NIREF,CUBA,US,
1570,NORDSTRAND LTD.,CUBA,US,
1571,NORDSTRAND MARITIME AND TRADING COMPANY,CUBA,US,
